type,schedule_id,po_number,item_code,needed_qty,po_line_id,reason,increment_qty,remaining_qty
schedule,1001,PRL0045966,B56,,,no_po_line,,
schedule,315,IST2701-020101-2MR,9O9,,,no_po_line,,
schedule,316,IST2601-020101-2MR,DF4,,,no_po_line,,
schedule,317,IST3201-020101-2BT,D10,,,no_po_line,,
schedule,318,IST2601-020101-2MR,DZ0,,,no_po_line,,
schedule,319,IST2701-020101-2MR,SP4,,,no_po_line,,
schedule,320,IST3201-020101-2BT,R25,,,no_po_line,,
schedule,321,IST2701-020101-2MR,STKM-13AC 15.9 X 1.4 X 535.0,,,no_po_line,,
schedule,322,IST2701-020101-2MR,STKM-13AC 19.1 X 2.3 X 996.0,,,no_po_line,,
schedule,323,IST2701-020101-2MR,BK8,,,no_po_line,,
schedule,324,IST2601-020101-2MR,B56,,,no_po_line,,
schedule,325,IST2601-020101-2MR,B65,,,no_po_line,,
schedule,326,IST2601-020101-2MR,C31,,,no_po_line,,
schedule,327,IST2601-020101-2MR,VT6,,,no_po_line,,
schedule,328,IST3201-020101-2BT,5X7,,,no_po_line,,
schedule,329,IST3201-020101-2BT,B13,,,no_po_line,,
schedule,330,IST2701-020101-2MR,PB5,,,no_po_line,,
schedule,331,IST2701-020101-2MR,SP5,,,no_po_line,,
schedule,332,IST2701-020101-2MR,FP9,,,no_po_line,,
schedule,333,IST3201-020101-2BT,FP8,,,no_po_line,,
schedule,334,IST3201-020101-2BT,FP6,,,no_po_line,,
schedule,335,IST2601-020101-2MR,STKM 470 12.0 X 2.0 X 597,,,no_po_line,,
schedule,336,IST3201-020101-2BT,C99,,,no_po_line,,
schedule,337,IST2901-020101-2MR,VD43,,,no_po_line,,
schedule,338,IST2601-030102-2MR,DF3,,,no_po_line,,
schedule,339,IST2601-030102-2MR,STKM-370G 25.4 x 1.6 x 136.3,,,no_po_line,,
schedule,340,IST3201-030102-2BT,STKM-600 Ø12 X 2.00 X 103,,,no_po_line,,
schedule,341,IST2701-030102-2MR,PB1,,,no_po_line,,
schedule,342,IST2701-030102-2MR,PB8,,,no_po_line,,
schedule,343,IST3201-030102-2BT,FP6,,,no_po_line,,
schedule,376,IST2601-030102-2MR,AO4,,,no_po_line,,
schedule,377,IST2601-030102-2MR,9J6,,,no_po_line,,
schedule,344,IST2901-050103-2MR,VD03,,,no_po_line,,
schedule,345,IST2901-050103-2MR,VD43,,,no_po_line,,
schedule,346,IST2701-050103-2MR,9O9,,,no_po_line,,
schedule,347,IST2601-050103-2MR,DF4,,,no_po_line,,
schedule,348,IST3201-050103-2BT,D10,,,no_po_line,,
schedule,349,IST2601-050103-2MR,DZ0,,,no_po_line,,
schedule,350,IST2701-050103-2MR,SP4,,,no_po_line,,
schedule,351,IST3201-050103-2BT,R25,,,no_po_line,,
schedule,352,IST2701-050103-2MR,STKM-13AC 15.9 X 1.4 X 535.0,,,no_po_line,,
schedule,353,IST2701-050103-2MR,STKM-13AC 19.1 X 2.3 X 996.0,,,no_po_line,,
schedule,354,IST2701-050103-2MR,STKM-11AC 22.2 X 1.2 X 1225.0,,,no_po_line,,
schedule,355,IST2701-050103-2MR,BK2,,,no_po_line,,
schedule,356,IST2701-050103-2MR,BK8,,,no_po_line,,
schedule,357,IST2601-050103-2MR,B56,,,no_po_line,,
schedule,358,IST2901-050103-2MR,VG99,,,no_po_line,,
schedule,359,IST2601-050103-2MR,C31,,,no_po_line,,
schedule,360,IST2601-050103-2MR,VT6,,,no_po_line,,
schedule,361,IST3201-050103-2BT,5X7,,,no_po_line,,
schedule,362,IST2701-050103-2MR,STKM-11AC 12.0 x 0.8 x 900.0,,,no_po_line,,
schedule,363,IST3201-050103-2BT,B14,,,no_po_line,,
schedule,364,IST3201-050103-2BT,B13,,,no_po_line,,
schedule,365,IST2701-050103-2MR,PB5,,,no_po_line,,
schedule,366,IST2701-050103-2MR,SP7,,,no_po_line,,
schedule,367,IST2901-050103-2MR,VG66,,,no_po_line,,
schedule,368,IST2701-050103-2MR,FP9,,,no_po_line,,
schedule,369,IST2701-050103-2MR,FP0,,,no_po_line,,
schedule,370,IST2601-050103-2MR,B69,,,no_po_line,,
schedule,371,IST2701-050103-2MR,BK3,,,no_po_line,,
schedule,372,IST2701-050103-2MR,BK1,,,no_po_line,,
schedule,373,IST2701-050103-2MR,BK0,,,no_po_line,,
schedule,374,IST2601-050103-2MR,STKM 470 12.0 X 2.0 X 597,,,no_po_line,,
schedule,375,IST3201-050103-2BT,C99,,,no_po_line,,
schedule,410,IST2901-050100-2MR,VG67,,,no_po_line,,
schedule,411,IST2601-050100-2MR,B69,,,no_po_line,,
schedule,378,IST2701-060104-2MR,9O9,,,no_po_line,,
schedule,379,IST2601-060104-2MR,DZ0,,,no_po_line,,
schedule,380,IST2701-060104-2MR,SP4,,,no_po_line,,
schedule,381,IST2601-060104-2MR,B47,,,no_po_line,,
schedule,382,IST2701-060104-2MR,BK2,,,no_po_line,,
schedule,383,IST2701-060104-2MR,BK8,,,no_po_line,,
schedule,384,IST2701-060104-2MR,BK5,,,no_po_line,,
schedule,385,IST2701-060104-2MR,BK0,,,no_po_line,,
schedule,386,IST2601-060104-2MR,M43,,,no_po_line,,
schedule,387,IST2701-060104-2MR,BK1,,,no_po_line,,
schedule,388,IST2601-060104-2MR,STKM 470 12.0 X 2.0 X 597,,,no_po_line,,
schedule,389,IST2701-060104-2MR,STKM-11AC 12.0 x 0.8 x 900.0,,,no_po_line,,
schedule,390,IST3201-060104-2BT,B14,,,no_po_line,,
schedule,391,IST2701-060104-2MR,BK3,,,no_po_line,,
schedule,392,IST2701-060104-2MR,SP7,,,no_po_line,,
schedule,393,IST2601-060105-2MR,DF4,,,no_po_line,,
schedule,394,IST2601-060105-2MR,DF3,,,no_po_line,,
schedule,395,IST3201-060105-2BT,D09,,,no_po_line,,
schedule,396,IST2701-060105-2MR,STKM-13AC 25.4 x 1.40 x 456.6,,,no_po_line,,
schedule,397,IST2701-060105-2MR,PB3,,,no_po_line,,
schedule,398,IST2701-060105-2MR,STKM-13AC 19.1 X 1.6 X 438.0,,,no_po_line,,
schedule,399,IST2701-060105-2MR,BK10,,,no_po_line,,
schedule,400,IST2701-060105-2MR,BK4,,,no_po_line,,
schedule,401,IST2601-060105-2MR,B44,,,no_po_line,,
schedule,402,IST3201-060105-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,403,IST2601-060105-2MR,VT6,,,no_po_line,,
schedule,404,IST3201-060105-2BT,B16,,,no_po_line,,
schedule,405,IST2701-060105-2MR,SP8,,,no_po_line,,
schedule,406,IST2701-060105-2MR,FP9,,,no_po_line,,
schedule,407,IST2601-060105-2MR,AJ7,,,no_po_line,,
schedule,408,IST2901-060105-2MR,VG62,,,no_po_line,,
schedule,409,IST2901-060105-2MR,VE87,,,no_po_line,,
schedule,412,IST2901-060100-2MR,VA65,,,no_po_line,,
schedule,413,IST2901-060100-2MR,DS03,,,no_po_line,,
schedule,414,IST2901-070106-2MR,VG99,,,no_po_line,,
schedule,415,IST2701-070106-2MR,9O9,,,no_po_line,,
schedule,416,IST2901-070106-2MR,VD43,,,no_po_line,,
schedule,417,IST2901-070106-2MR,VG62,,,no_po_line,,
schedule,418,IST3201-070106-2BT,D09,,,no_po_line,,
schedule,419,IST2601-070106-2MR,STKM 470 12.0 X 2.0 X 597,,,no_po_line,,
schedule,420,IST2601-070106-2MR,DZ0,,,no_po_line,,
schedule,421,IST2701-070106-2MR,STKM-13AC 25.4 x 1.40 x 456.6,,,no_po_line,,
schedule,422,IST2701-070106-2MR,SP4,,,no_po_line,,
schedule,423,IST2701-070106-2MR,BK0,,,no_po_line,,
schedule,424,IST2701-070106-2MR,BK1,,,no_po_line,,
schedule,425,IST2701-070106-2MR,BK2,,,no_po_line,,
schedule,426,IST2701-070106-2MR,BK8,,,no_po_line,,
schedule,427,IST2701-070106-2MR,BK10,,,no_po_line,,
schedule,428,IST2701-070106-2MR,BK5,,,no_po_line,,
schedule,429,IST2601-070106-2MR,B44,,,no_po_line,,
schedule,430,IST3201-070106-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,431,IST2701-070106-2MR,BK3,,,no_po_line,,
schedule,432,IST3201-070106-2BT,5X7,,,no_po_line,,
schedule,433,IST3201-070106-2BT,B14,,,no_po_line,,
schedule,434,IST3201-070106-2BT,B13,,,no_po_line,,
schedule,435,IST2701-070106-2MR,SP7,,,no_po_line,,
schedule,436,IST2701-070106-2MR,STKM-13AC 25.4 X 2.0 X 1680.0,,,no_po_line,,
schedule,437,IST2901-070100-2MR,VA65,,,no_po_line,,
schedule,179,PO-MRP002186,B73,,,no_po_line,,
schedule,186,PO-MRP002186,C69,,,no_po_line,,
schedule,188,PO-MRP002186,VT8,,,no_po_line,,
schedule,192,PO-MRP002186,M69,,,no_po_line,,
schedule,195,PO-MRP002186,VT1,,,no_po_line,,
schedule,438,IST2901-080107-2MR,VA65,,,no_po_line,,
schedule,439,IST2901-080107-2MR,VD01,,,no_po_line,,
schedule,440,IST2901-080107-2MR,VD43,,,no_po_line,,
schedule,441,IST2901-080107-2MR,VG99,,,no_po_line,,
schedule,442,IST2901-080107-2MR,DV15,,,no_po_line,,
schedule,443,IST2701-080107-2MR,STKM-13AC 25.4 x 1.40 x 456.6,,,no_po_line,,
schedule,444,IST2701-080107-2MR,BK2,,,no_po_line,,
schedule,445,IST2701-080107-2MR,BK8,,,no_po_line,,
schedule,446,IST2701-080107-2MR,BK10,,,no_po_line,,
schedule,447,IST2601-080107-2MR,C31,,,no_po_line,,
schedule,448,IST3201-080107-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,449,IST2601-080107-2MR,VT3,,,no_po_line,,
schedule,450,IST3201-080107-2BT,5X7,,,no_po_line,,
schedule,451,IST3201-080107-2BT,B15,,,no_po_line,,
schedule,452,IST3201-080107-2BT,B14,,,no_po_line,,
schedule,453,IST3201-080107-2BT,B13,,,no_po_line,,
schedule,454,IST2701-080107-2MR,SP7,,,no_po_line,,
schedule,455,IST2601-080107-2MR,C87,,,no_po_line,,
schedule,456,IST2701-080107-2MR,BK3,,,no_po_line,,
schedule,457,IST2701-080107-2MR,BK1,,,no_po_line,,
schedule,458,IST2601-080107-2MR,STKM 470 12.0 X 2.0 X 597,,,no_po_line,,
schedule,459,IST2601-080107-2MR,B69,,,no_po_line,,
schedule,460,IST2601-080107-2MR,B46,,,no_po_line,,
schedule,461,IST3201-090108-2BT,R24,,,no_po_line,,
schedule,462,IST3201-090108-2BT,R26,,,no_po_line,,
schedule,463,IST2601-090108-2MR,C75,,,no_po_line,,
schedule,464,IST2701-090108-2MR,BK2,,,no_po_line,,
schedule,465,IST2601-090108-2MR,B44,,,no_po_line,,
schedule,466,IST2601-090108-2MR,C31,,,no_po_line,,
schedule,467,IST3201-090108-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,468,IST2601-090108-2MR,VT3,,,no_po_line,,
schedule,469,IST3201-090108-2BT,STKM-600 Ø12 X 2.00 X 103,,,no_po_line,,
schedule,470,IST2701-090108-2MR,BK3,,,no_po_line,,
schedule,471,IST2901-090108-2MR,VD43,,,no_po_line,,
schedule,472,IST2601-090108-2MR,B46,,,no_po_line,,
schedule,473,IST2601-090108-2MR,B69,,,no_po_line,,
schedule,474,IST2601-090108-2MR,C87,,,no_po_line,,
schedule,475,IST2601-090108-2MR,D01,,,no_po_line,,
schedule,476,IST2701-090108-2MR,FP9,,,no_po_line,,
schedule,477,IST2601-090108-2MR,B65,,,no_po_line,,
schedule,478,IST3201-090108-2BT,C81,,,no_po_line,,
schedule,479,IST3201-090108-2BT,D09,,,no_po_line,,
schedule,480,IST3201-090108-2BT,D10,,,no_po_line,,
schedule,481,IST2601-090108-2MR,DZ0,,,no_po_line,,
schedule,482,IST2701-090108-2MR,PB1,,,no_po_line,,
schedule,483,IST2701-090108-2MR,BK1,,,no_po_line,,
schedule,484,IST2901-090108-2MR,VD41,,,no_po_line,,
schedule,485,IST2901-090108-2MR,VG99,,,no_po_line,,
schedule,486,IST2601-090108-2MR,DY17,,,no_po_line,,
schedule,487,IST3201-090108-2BT,5X7,,,no_po_line,,
schedule,488,IST3201-090108-2BT,B15,,,no_po_line,,
schedule,489,IST3201-090108-2BT,B14,,,no_po_line,,
schedule,490,IST3201-090108-2BT,B13,,,no_po_line,,
schedule,491,IST2701-090108-2MR,SP8,,,no_po_line,,
schedule,492,IST2701-090108-2MR,SP7,,,no_po_line,,
schedule,493,IST2701-090108-2MR,HP8,,,no_po_line,,
schedule,494,IST2901-090108-2MR,VA65,,,no_po_line,,
schedule,495,IST2601-090109-2MR,DF3,,,no_po_line,,
schedule,496,IST2701-090109-2MR,SP2,,,no_po_line,,
schedule,497,IST2601-090109-2MR,DF4,,,no_po_line,,
schedule,498,IST2901-090109-2MR,VA77,,,no_po_line,,
schedule,499,IST2601-090109-2MR,VT2,,,no_po_line,,
schedule,500,IST2701-090109-2MR,PB3,,,no_po_line,,
schedule,501,IST2901-100110-2MR,DS03,,,no_po_line,,
schedule,502,IST2601-100110-2MR,DF4,,,no_po_line,,
schedule,503,IST2601-100110-2MR,DF3,,,no_po_line,,
schedule,504,IST2601-100110-2MR,D01,,,no_po_line,,
schedule,506,IST2701-100110-2MR,PB1,,,no_po_line,,
schedule,509,IST2701-100110-2MR,BK2,,,no_po_line,,
schedule,510,IST2701-100110-2MR,BK5,,,no_po_line,,
schedule,511,IST2601-100110-2MR,B56,,,no_po_line,,
schedule,512,IST3201-100110-2BT,C72,,,no_po_line,,
schedule,515,IST2601-100110-2MR,M43,,,no_po_line,,
schedule,516,IST2601-100110-2MR,B46,,,no_po_line,,
schedule,519,IST2701-100110-2MR,FP9,,,no_po_line,,
schedule,520,IST2601-100110-2MR,AJ8,,,no_po_line,,
schedule,521,IST2701-100110-2MR,BK3,,,no_po_line,,
schedule,522,IST3201-100110-2BT,C99,,,no_po_line,,
schedule,523,IST2901-100110-2MR,VD03,,,no_po_line,,
schedule,524,IST2901-100110-2MR,VD43,,,no_po_line,,
schedule,525,IST2901-100110-2MR,VG62,,,no_po_line,,
schedule,526,IST2901-100110-2MR,VG99,,,no_po_line,,
schedule,162,PO-MRP002284,SL32,,,no_po_line,,
schedule,163,PO-MRP002284,SL38,,,no_po_line,,
schedule,164,PO-MRP002284,SL40,,,no_po_line,,
schedule,165,PO-MRP002284,SL45,,,no_po_line,,
schedule,177,PO-MRP002186,B61,,,no_po_line,,
schedule,180,PO-MRP002186,B73,,,no_po_line,,
schedule,182,PO-MRP002186,C13,,,no_po_line,,
schedule,187,PO-MRP002186,C69,,,no_po_line,,
schedule,189,PO-MRP002186,VT8,,,no_po_line,,
schedule,193,PO-MRP002186,M69,,,no_po_line,,
schedule,196,PO-MRP002186,VT1,,,no_po_line,,
schedule,505,IST3201-120110-2BT,D10,,,no_po_line,,
schedule,507,IST3201-120110-2BT,R24,,,no_po_line,,
schedule,508,IST3201-120110-2BT,R26,,,no_po_line,,
schedule,513,IST3201-120110-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,514,IST3201-120110-2BT,C81,,,no_po_line,,
schedule,517,IST3201-120110-2BT,B16,,,no_po_line,,
schedule,518,IST3201-120110-2BT,B13,,,no_po_line,,
schedule,527,IST2601-120111-2MR,DF3,,,no_po_line,,
schedule,528,IST2701-120111-2MR,STKM-13AC 15.9 X 1.4 X 558.0,,,no_po_line,,
schedule,529,IST2701-120111-2MR,STKM-13AC 25.4 x 1.40 x 456.6,,,no_po_line,,
schedule,530,IST2701-120111-2MR,SP4,,,no_po_line,,
schedule,531,IST3201-120111-2BT,R24,,,no_po_line,,
schedule,532,IST3201-120111-2BT,R26,,,no_po_line,,
schedule,533,IST2701-120111-2MR,BK2,,,no_po_line,,
schedule,534,IST2701-120111-2MR,BK10,,,no_po_line,,
schedule,535,IST2701-120111-2MR,BK4,,,no_po_line,,
schedule,536,IST2701-120111-2MR,BK5,,,no_po_line,,
schedule,537,IST2601-120111-2MR,B56,,,no_po_line,,
schedule,538,IST3201-120111-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,539,IST2601-120111-2MR,M43,,,no_po_line,,
schedule,540,IST2601-120111-2MR,AJ7,,,no_po_line,,
schedule,541,IST2701-120111-2MR,BK3,,,no_po_line,,
schedule,542,IST2701-120111-2MR,BK1,,,no_po_line,,
schedule,543,IST2701-120111-2MR,BK0,,,no_po_line,,
schedule,544,IST2901-120111-2MR,VD03,,,no_po_line,,
schedule,545,IST2901-120111-2MR,VD43,,,no_po_line,,
schedule,132,PO-MRP002301,BR40,,,no_po_line,,
schedule,133,PO-MRP002301,BR45,,,no_po_line,,
schedule,135,PO-MRP002301,BR50,,,no_po_line,,
schedule,137,PO-MRP002301,BR60,,,no_po_line,,
schedule,141,PO-MRP002301,BR70,,,no_po_line,,
schedule,143,PO-MRP002301,BR80,,,no_po_line,,
schedule,144,PO-MRP002302,BL32,,,no_po_line,,
schedule,145,PO-MRP002302,BL40,,,no_po_line,,
schedule,146,PO-MRP002302,BL50,,,no_po_line,,
schedule,147,PO-MRP002302,BL60,,,no_po_line,,
schedule,148,PO-MRP002302,BR45,,,no_po_line,,
schedule,149,PO-MRP002283,SR40,,,no_po_line,,
schedule,150,PO-MRP002283,SR30 WIRE SWB Ø 3.0 mm CARRER,,,no_po_line,,
schedule,157,PO-MRP002283,SR65,,,no_po_line,,
schedule,158,PO-MRP002283,SR50,,,no_po_line,,
schedule,159,PO-MRP002283,SR23,,,no_po_line,,
schedule,166,PO-MRP002284,SR20,,,no_po_line,,
schedule,546,IST2601-130112-2MR,DF3,,,no_po_line,,
schedule,547,IST2701-130112-2MR,STKM-13AC 15.9 X 1.4 X 535.0,,,no_po_line,,
schedule,548,IST2701-130112-2MR,BK2,,,no_po_line,,
schedule,549,IST2701-130112-2MR,BK8,,,no_po_line,,
schedule,550,IST2701-130112-2MR,BK10,,,no_po_line,,
schedule,551,IST2701-130112-2MR,BK4,,,no_po_line,,
schedule,552,IST2701-130112-2MR,BK5,,,no_po_line,,
schedule,553,IST2701-130112-2MR,BK0,,,no_po_line,,
schedule,554,IST2601-130112-2MR,B44,,,no_po_line,,
schedule,555,IST2701-130112-2MR,BK1,,,no_po_line,,
schedule,556,IST3201-130112-2BT,C81,,,no_po_line,,
