schedule_id,po_number,item_code,po_line_id,request_qty,received_qty,needed_qty
1159,PO-MRP002589,CR38,38,1500,0,1500
1164,PO-MRP002589,SR60,41,1000,0,1000
1167,PO-MRP002589,SL32,43,250,0,250
1169,PO-MRP002589,SL40,45,1000,0,1000
1142,PO-MRP002625,B61,19,1300,0,1300
1144,PO-MRP002625,B73,20,1300,0,1300
1146,PO-MRP002625,C13,21,1300,0,1300
1149,PO-MRP002625,C69,22,1300,0,1300
1151,PO-MRP002625,M69,23,2000,0,2000
1153,PO-MRP002625,VT1,24,400,0,400
1154,PO-MRP002625,VT8,25,1300,0,1300
1157,PO-MRP002589,SR20,36,500,0,500
1158,PO-MRP002589,SR40,37,250,0,250
1161,PO-MRP002589,SR38,39,1500,0,1500
1163,PO-MRP002589,SR45,40,1500,0,1500
1166,PO-MRP002589,SR50,42,100,0,100
1168,PO-MRP002589,SL38,44,1000,0,1000
1170,PO-MRP002589,SL45,46,500,0,500
1171,PO-MRP002589,SR23,47,1250,0,1250
1143,PO-MRP002625,B61,19,650,0,650
1145,PO-MRP002625,B73,20,1300,0,1300
1147,PO-MRP002625,C13,21,1300,0,1300
1150,PO-MRP002625,C69,22,650,0,650
1152,PO-MRP002625,M69,23,2000,0,2000
1155,PO-MRP002625,VT8,25,1300,0,1300
1160,PO-MRP002589,CR38,38,1000,0,1000
1162,PO-MRP002589,SR38,39,1500,0,1500
1165,PO-MRP002589,SR60,41,1000,0,1000
1172,PO-MRP002589,SR23,47,1000,0,1000
1148,PO-MRP002625,C13,21,1300,0,1300
1156,PO-MRP002625,VT8,25,1300,0,1300
