po_number,item_code,total_request_qty,total_received_qty,schedule_count,supplier_hint,first_request_date
IST2601-020101-2MR,B56,338,338,1,PT. Indonesian Steel Tube Work,2026-01-02
IST2601-020101-2MR,B65,3000,3000,1,PT. Indonesian Steel Tube Work,2026-01-02
IST2601-020101-2MR,C31,180,180,1,PT. Indonesian Steel Tube Work,2026-01-02
IST2601-020101-2MR,DF4,450,450,1,PT. Indonesian Steel Tube Work,2026-01-02
IST2601-020101-2MR,DZ0,217,217,1,PT. Indonesian Steel Tube Work,2026-01-02
IST2601-020101-2MR,STKM 470 12.0 X 2.0 X 597,1500,1500,1,PT. Indonesian Steel Tube Work,2026-01-02
IST2601-020101-2MR,VT6,300,300,1,PT. Indonesian Steel Tube Work,2026-01-02
IST2601-030102-2MR,9J6,450,450,1,PT. Indonesian Steel Tube Work,2026-01-03
IST2601-030102-2MR,AO4,900,900,1,PT. Indonesian Steel Tube Work,2026-01-03
IST2601-030102-2MR,DF3,508,508,1,PT. Indonesian Steel Tube Work,2026-01-03
IST2601-030102-2MR,STKM-370G 25.4 x 1.6 x 136.3,1000,1000,1,PT. Indonesian Steel Tube Work,2026-01-03
IST2601-050100-2MR,B69,900,900,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-050103-2MR,B56,169,169,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-050103-2MR,B69,300,300,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-050103-2MR,C31,360,360,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-050103-2MR,DF4,900,900,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-050103-2MR,DZ0,217,217,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-050103-2MR,STKM 470 12.0 X 2.0 X 597,3000,3000,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-050103-2MR,VT6,300,300,1,PT. Indonesian Steel Tube Work,2026-01-05
IST2601-060104-2MR,B47,500,500,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060104-2MR,DZ0,434,434,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060104-2MR,M43,1400,1400,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060104-2MR,STKM 470 12.0 X 2.0 X 597,3000,3000,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060105-2MR,AJ7,1800,1800,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060105-2MR,B44,750,750,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060105-2MR,DF3,381,381,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060105-2MR,DF4,450,450,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-060105-2MR,VT6,300,300,1,PT. Indonesian Steel Tube Work,2026-01-06
IST2601-070106-2MR,B44,500,500,1,PT. Indonesian Steel Tube Work,2026-01-07
IST2601-070106-2MR,DZ0,217,217,1,PT. Indonesian Steel Tube Work,2026-01-07
IST2601-070106-2MR,STKM 470 12.0 X 2.0 X 597,1500,1500,1,PT. Indonesian Steel Tube Work,2026-01-07
IST2601-080107-2MR,B46,750,750,1,PT. Indonesian Steel Tube Work,2026-01-08
IST2601-080107-2MR,B69,900,900,1,PT. Indonesian Steel Tube Work,2026-01-08
IST2601-080107-2MR,C31,360,360,1,PT. Indonesian Steel Tube Work,2026-01-08
IST2601-080107-2MR,C87,700,700,1,PT. Indonesian Steel Tube Work,2026-01-08
IST2601-080107-2MR,STKM 470 12.0 X 2.0 X 597,2914,2914,1,PT. Indonesian Steel Tube Work,2026-01-08
IST2601-080107-2MR,VT3,1000,1000,1,PT. Indonesian Steel Tube Work,2026-01-08
IST2601-090108-2MR,B44,500,500,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,B46,500,500,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,B65,1500,1500,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,B69,600,600,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,C31,500,500,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,C75,500,500,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,C87,700,700,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,D01,1000,1000,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,DY17,1920,1920,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,DZ0,434,434,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090108-2MR,VT3,1000,1000,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090109-2MR,DF3,381,381,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090109-2MR,DF4,1350,1350,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-090109-2MR,VT2,1100,1100,1,PT. Indonesian Steel Tube Work,2026-01-09
IST2601-100110-2MR,AJ8,2700,2700,1,PT. Indonesian Steel Tube Work,2026-01-10
IST2601-100110-2MR,B46,500,500,1,PT. Indonesian Steel Tube Work,2026-01-10
IST2601-100110-2MR,B56,169,169,1,PT. Indonesian Steel Tube Work,2026-01-10
IST2601-100110-2MR,D01,1000,1000,1,PT. Indonesian Steel Tube Work,2026-01-10
IST2601-100110-2MR,DF3,254,254,1,PT. Indonesian Steel Tube Work,2026-01-10
IST2601-100110-2MR,DF4,450,450,1,PT. Indonesian Steel Tube Work,2026-01-10
IST2601-100110-2MR,M43,700,700,1,PT. Indonesian Steel Tube Work,2026-01-10
IST2601-120111-2MR,AJ7,900,900,1,PT. Indonesian Steel Tube Work,2026-01-12
IST2601-120111-2MR,B56,169,169,1,PT. Indonesian Steel Tube Work,2026-01-12
IST2601-120111-2MR,DF3,254,254,1,PT. Indonesian Steel Tube Work,2026-01-12
IST2601-120111-2MR,M43,700,700,1,PT. Indonesian Steel Tube Work,2026-01-12
IST2601-130100-2MR,B46,500,500,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130100-2MR,B69,600,600,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130100-2MR,B74,450,450,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130112-2MR,AJ7,3600,3600,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130112-2MR,AJ8,3600,3600,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130112-2MR,B44,750,750,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130112-2MR,DF3,254,254,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130112-2MR,M43,1050,1050,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-130112-2MR,STKM-370G D25.4X1.6X466,1000,1000,1,PT. Indonesian Steel Tube Work,2026-01-13
IST2601-140113-2MR,AJ7,2790,2790,1,PT. Indonesian Steel Tube Work,2026-01-14
IST2601-140113-2MR,AJ8,2700,2700,1,PT. Indonesian Steel Tube Work,2026-01-14
IST2601-140113-2MR,B46,743,743,1,PT. Indonesian Steel Tube Work,2026-01-14
IST2601-140113-2MR,B57,1500,1500,1,PT. Indonesian Steel Tube Work,2026-01-14
