schedule_id,po_number,item_original,reason,candidates,match_source
150,PO-MRP002283,SR30 WIRE SWB Ø 3.0 mm CARRER,no_match,,
232,PO-MRP002389,R70 WIRE SWM-B Ø7.0 mm CARRER,no_match,,
233,PO-MRP002390,R20 WIRE SWM-B Ø2.0 mm Coil,no_match,,
321,IST2701-020101-2MR,STKM-13AC 15.9 X 1.4 X 535.0,no_match,,
322,IST2701-020101-2MR,STKM-13AC 19.1 X 2.3 X 996.0,no_match,,
335,IST2601-020101-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
339,IST2601-030102-2MR,STKM-370G 25.4 x 1.6 x 136.3,no_match,,
340,IST3201-030102-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
352,IST2701-050103-2MR,STKM-13AC 15.9 X 1.4 X 535.0,no_match,,
353,IST2701-050103-2MR,STKM-13AC 19.1 X 2.3 X 996.0,no_match,,
354,IST2701-050103-2MR,STKM-11AC 22.2 X 1.2 X 1225.0,no_match,,
362,IST2701-050103-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
374,IST2601-050103-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
388,IST2601-060104-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
389,IST2701-060104-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
396,IST2701-060105-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
398,IST2701-060105-2MR,STKM-13AC 19.1 X 1.6 X 438.0,no_match,,
402,IST3201-060105-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
419,IST2601-070106-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
421,IST2701-070106-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
430,IST3201-070106-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
436,IST2701-070106-2MR,STKM-13AC 25.4 X 2.0 X 1680.0,no_match,,
443,IST2701-080107-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
448,IST3201-080107-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
458,IST2601-080107-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
467,IST3201-090108-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
469,IST3201-090108-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
513,IST3201-120110-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
528,IST2701-120111-2MR,STKM-13AC 15.9 X 1.4 X 558.0,no_match,,
529,IST2701-120111-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
538,IST3201-120111-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
547,IST2701-130112-2MR,STKM-13AC 15.9 X 1.4 X 535.0,no_match,,
558,IST2601-130112-2MR,STKM-370G D25.4X1.6X466,no_match,,
577,IST2701-140113-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
581,IST2701-140113-2MR,STKM-13AC 19.1 X 1.6 X 438.0,no_match,,
582,IST2701-140113-2MR,STKM-13AC 19.1 X 2.3 X 996.0,no_match,,
583,IST2701-140113-2MR,STKM-11AC 22.2 X 1.2 X 1225.0,no_match,,
593,IST3201-140113-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
596,IST2701-140113-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
607,IST2601-140113-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
613,IST3201-150115-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
621,IST2701-150115-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
623,IST2601-150115-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
628,IST2701-150115-2MR,STKM-13AC 19.1 X 1.6 X 438.0,no_match,,
629,IST2701-150115-2MR,STKM-13AC 19.1 X 2.3 X 996.0,no_match,,
630,IST2701-150115-2MR,STKM-11AC 22.2 X 1.2 X 1225.0,no_match,,
641,IST3201-150115-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
645,IST2601-150115-2MR,STKM-370 25.4 x 1.4 x 973,no_match,,
646,IST2701-150115-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
654,IST3201-150115-2BT,STKM-650 Ø12 x 1.50 x 1034.0,no_match,,
661,IST2601-150115-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
670,IST3201-170117-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
675,IST2702-190117-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
677,IST2601-170117-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
693,IST3201-170117-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
697,IST2601-170117-2MR,STKM-370 25.4 x 1.4 x 973,no_match,,
705,IST3201-170117-2BT,STKM-650 Ø12 x 1.50 x 1034.0,no_match,,
721,IST2601-190118-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
724,IST2701-190118-2MR,STKM-13AC 25.4 X 2.0 X 1680.0,no_match,,
725,IST2701-190118-2MR,STKM-11AC 19.1 X 1.2 X 2197.5,no_match,,
735,IST2702-190118-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
745,IST2601-200119-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
748,IST2702-200119-2MR,STKM-13AC 19.1 X 2.3 X 996.0,no_match,,
749,IST2701-200119-2MR,STKM-13AC 25.4 X 2.0 X 1680.0,no_match,,
758,IST3201-200119-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
761,IST2702-200119-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
781,IST4801-210121-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
784,IST2702-210121-2MR,STKM-13AC 15.9 X 1.4 X 535.0,no_match,,
785,IST3201-210121-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
792,IST3201-210121-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
810,IST3201-220122-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
814,IST4801-220122-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
820,IST2702-220122-2MR,STKM-13AC 15.9 X 1.4 X 535.0,no_match,,
827,IST2602-220122-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
839,IST4901-220100-2MR,STKM-13AC 19.1 X 1.6 X 438.0,no_match,,
840,IST4901-220100-2MR,STKM-11AC 19.1 X 1.2 X 249.0,no_match,,
844,IST2702-230123-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
846,IST4801-230123-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
847,IST2702-230123-2MR,STKM-13AC 19.1 X 1.6 X 438.0,no_match,,
852,IST3201-230123-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
859,IST3201-230123-2BT,STKM-800 14.0 x 1.35 x 756.0,no_match,,
877,IST3201-240124-2BT,STKM-800 14.0 x 1.35 x 756.0,no_match,,
889,IST4801-260125-2MR,STKM-370G 25.4 x 1.6 x 136.3,no_match,,
895,IST2702-260125-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
905,IST2702-260125-2MR,STKM-13AC 25.4 x 1.40 x 456.6,no_match,,
914,IST4901-260100-2MR,STKM-11AC 19.1 X 1.2 X 2197.5,no_match,,
920,IST2602-270126-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
931,IST3201-270126-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
932,IST2602-270126-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
951,IST7802-280127-2MR,STKM-550 28.6 X 1.20 X 1497,no_match,,
956,IST7702-280127-2MR,STKM-13AC 25.4 X 2.0 X 1680.0,no_match,,
963,IST7702-280127-2MR,STKM-11AC 12.0 x 0.8 x 900.0,no_match,,
974,IST4901-290128-2MR,STKM-11AC 19.1 X 1.2 X 2197.5,no_match,,
978,IST3201-290128-2BT,STKM-470 Ø14 X 1.35 X 776,no_match,,
985,IST3201-290128-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
988,IST7702-290128-2MR,STKM-13AC 15.9 X 1.4 X 558.0,no_match,,
993,IST3201-300129-2BT,STKM-600 Ø12 X 2.00 X 103,no_match,,
997,IST7802-300129-2MR,STKM 470 12.0 X 2.0 X 597,no_match,,
998,IST7702-300100-2MR,STKM-13AC 25.4 X 2.0 X 1680.0,no_match,,
