schedule_id,po_number,item_original,item_code,match_source
132,PO-MRP002301,BR40 WIRE SWM-B Ø4.0 mm CARRER,BR40,code_token
133,PO-MRP002301,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
134,PO-MRP002301,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
135,PO-MRP002301,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
136,PO-MRP002301,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
137,PO-MRP002301,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
138,PO-MRP002301,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
139,PO-MRP002301,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
140,PO-MRP002301,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
141,PO-MRP002301,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
142,PO-MRP002301,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
143,PO-MRP002301,BR80 WIRE SWM-B Ø8.0 mm CARRER,BR80,code_token
144,PO-MRP002302,BL32 WIRE SWM-B Ø3.2 mm COIL,BL32,code_token
145,PO-MRP002302,BL40 WIRE SWM-B Ø4.0 mm COIL,BL40,code_token
146,PO-MRP002302,BL50 WIRE SWM-B Ø 5.0 mm COIL,BL50,code_token
147,PO-MRP002302,BL60 WIRE SWM-B Ø6.0 mm COIL,BL60,code_token
148,PO-MRP002302,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
149,PO-MRP002283,"SR40 WIRE SWB Ø4,0 mm CARRER",SR40,code_token
151,PO-MRP002283,CR38 WIRE SWC Ø3.8 mm CARRER,CR38,code_token
152,PO-MRP002283,CR38 WIRE SWC Ø3.8 mm CARRER,CR38,code_token
153,PO-MRP002283,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
154,PO-MRP002283,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
155,PO-MRP002283,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
156,PO-MRP002283,SR60 WIRE SWB Ø6.0 mm CARRER,SR60,code_token
157,PO-MRP002283,SR65 WIRE SWB Ø6.5 mm CARRER,SR65,code_token
158,PO-MRP002283,SR50 WIRE SWB Ø5.0 mm CARER,SR50,code_token
159,PO-MRP002283,SR23 WIRE SWB Ø2.3 mm CARRER,SR23,code_token
160,PO-MRP002283,SR23 WIRE SWB Ø2.3 mm CARRER,SR23,code_token
161,PO-MRP002283,SR23 WIRE SWB Ø2.3 mm CARRER,SR23,code_token
162,PO-MRP002284,SL32 WIRE SWB Ø3.2 mm COIL,SL32,code_token
163,PO-MRP002284,SL38 WIRE SWB Ø3.8 mm COIL,SL38,code_token
164,PO-MRP002284,SL40 WIRE SWB Ø4.0 mm COIL,SL40,code_token
165,PO-MRP002284,SL45 WIRE SWB Ø4.5 mm COIL,SL45,code_token
166,PO-MRP002284,SR20 WIRE SWB Ø2.0 mm CARRER,SR20,code_token
167,PO-MRP002284,SR20 WIRE SWB Ø2.0 mm CARRER,SR20,code_token
168,PO-MRP002299,BR40 WIRE SWM-B Ø4.0 mm CARRER,BR40,code_token
169,PO-MRP002299,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
170,PO-MRP002299,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
171,PO-MRP002299,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
172,PO-MRP002300,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
173,PO-MRP002300,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
174,PO-MRP002300,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
175,PO-MRP002300,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
176,PO-MRP002300,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
177,PO-MRP002186,STKM-370G D25.4X1.6X569.5,B61,name_fuzzy
178,PO-MRP002186,STKM-370G D25.4X1.6X569.5,B61,name_fuzzy
179,PO-MRP002186,STKM-370G D25.4X1.2X607.5,B73,name_fuzzy
180,PO-MRP002186,STKM-370G D25.4X1.2X607.5,B73,name_fuzzy
181,PO-MRP002186,STKM-370G D25.4X1.2X607.5,B73,name_fuzzy
182,PO-MRP002186,STKM-370G D22.2X1.6X757,C13,name_fuzzy
183,PO-MRP002186,STKM-370G D22.2X1.6X757,C13,name_fuzzy
184,PO-MRP002186,STKM-370G D22.2X1.6X757,C13,name_fuzzy
185,PO-MRP002186,STKM-370G D22.2X1.6X757,C13,name_fuzzy
186,PO-MRP002186,STKM-370G D25.4X1.6X681,C69,name_fuzzy
187,PO-MRP002186,STKM-370G D25.4X1.6X681,C69,name_fuzzy
188,PO-MRP002186,STKM-370G D22.2X1.6X733,VT8,name_fuzzy
189,PO-MRP002186,STKM-370G D22.2X1.6X733,VT8,name_fuzzy
190,PO-MRP002186,STKM-370G D22.2X1.6X733,VT8,name_fuzzy
191,PO-MRP002186,STKM-370G D22.2X1.6X733,VT8,name_fuzzy
198,PO-MRP002327,STKM-370G D25.4X1.6X569.5,B61,name_fuzzy
199,PO-MRP002327,STKM-370G D25.4X1.2X607.5,B73,name_fuzzy
200,PO-MRP002327,STKM-370G D25.4X1.2X607.5,B73,name_fuzzy
201,PO-MRP002327,STKM-370G D25.4X1.2X607.5,B73,name_fuzzy
202,PO-MRP002327,STKM-370G D22.2X1.6X757,C13,name_fuzzy
203,PO-MRP002327,STKM-370G D22.2X1.6X757,C13,name_fuzzy
204,PO-MRP002327,STKM-370G D25.4X1.6X681,C69,name_fuzzy
205,PO-MRP002327,STKM-370G D22.2X1.6X733,VT8,name_fuzzy
208,PO-MRP002387,BR10 WIRE SWM-B Ø10 mm CARRER,BR10,code_token
209,PO-MRP002387,BR10 WIRE SWM-B Ø10 mm CARRER,BR10,code_token
210,PO-MRP002387,BR40 WIRE SWM-B Ø4.0 mm CARRER,BR40,code_token
211,PO-MRP002387,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
212,PO-MRP002387,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
213,PO-MRP002387,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
214,PO-MRP002387,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
215,PO-MRP002387,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
216,PO-MRP002387,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
217,PO-MRP002387,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
218,PO-MRP002387,BR80 WIRE SWM-B Ø8.0 mm CARRER,BR80,code_token
219,PO-MRP002387,BR35 WIRE SWM-B Ø3.5 mm CARRER,BR35,code_token
220,PO-MRP002389,BL32 WIRE SWM-B Ø3.2 mm COIL,BL32,code_token
221,PO-MRP002389,BL40 WIRE SWM-B Ø4.0 mm COIL,BL40,code_token
222,PO-MRP002389,BL45 WIRE SWM-B Ø4.5 mm COIL,BL45,code_token
223,PO-MRP002389,BL50 WIRE SWM-B Ø 5.0 mm COIL,BL50,code_token
224,PO-MRP002389,BL50 WIRE SWM-B Ø 5.0 mm COIL,BL50,code_token
225,PO-MRP002389,BL60 WIRE SWM-B Ø6.0 mm COIL,BL60,code_token
226,PO-MRP002389,BL60 WIRE SWM-B Ø6.0 mm COIL,BL60,code_token
227,PO-MRP002389,BL70 WIRE SWM-B Ø7.0 mm COIL,BL70,code_token
228,PO-MRP002389,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
229,PO-MRP002389,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
230,PO-MRP002389,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
231,PO-MRP002389,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
234,PO-MRP002390,R40 WIRE SWM-B Ø4.0 mm CARRER,R40,code_token
235,PO-MRP002390,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
236,PO-MRP002390,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
